,product,specification,review,discount,price,rating,offers
0,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"15.6 Inch, Black Plastic, 2.3 KG, With MS Office","1,942",27% off,"64,990",4.4,"No Cost EMI from10,832/month"
1,ASUS ROG Strix G15 (2021) Ryzen 7 Octa Core 4800H - (8 ...,"15.6 inch, Plastic Grey, 2.10 Kg",74,15% off,"76,990",4.4,"No Cost EMI from12,832/month"
2,ASUS ASUS TUF Gaming Core i5 10th Gen - (16 GB/512 GB S...,"15.6 inch, Black Plastic, 2.30 kg",380,23% off,"68,990",4.5,"No Cost EMI from11,499/month"
3,ASUS ASUS TUF Gaming Core i7 11th Gen - (16 GB/1 TB SSD...,"15.6 inch, Graphite Black, 2.30 kg",121,22% off,"1,05,990",4.6,"No Cost EMI from17,665/month"
4,ASUS ASUS TUF Gaming Core i5 11th Gen - (8 GB/1 TB SSD/...,"15.6 inch, Graphite Black, 2.30 kg",27,23% off,"89,990",4.6,"No Cost EMI from14,999/month"
5,ASUS Core i7 10th Gen - (8 GB/1 TB SSD/Windows 10 Home/...,"15.6 inch, Black Plastic, 2.30 Kg",90,2% off,"79,990",4.4,"No Cost EMI from13,332/month"
6,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/1 TB HDD/256 ...,"15.6 inch, Transparent Silver, With MS Office",3,22% off,"60,980",4.7,
7,ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/512 GB SSD...,"15.6 inch, Star Black, 2.14 Kg, With MS Office","1,310",28% off,"54,990",4.4,"No Cost EMI from9,165/month"
8,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"15.6 inch, Black Plastic, 2.3 KG","2,559",25% off,"60,990",4.5,"No Cost EMI from10,165/month"
9,ASUS TUF Gaming F17 (2021) Core i5 11th Gen - (8 GB/1 T...,"17.3 Inch, Graphite Black, 2.6 KG",112,19% off,"92,990",4.5,"No Cost EMI from15,499/month"
10,ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"15.6 inch, Eclipse Gray, 1.90 Kg, With MS Office",69,23% off,"1,43,990",4.2,
11,ASUS TUF Dash F15 Core i5 11th Gen - (8 GB/1 TB SSD/Win...,"15.6 inch, Eclipse Grey, 2. Kg",,21% off,"89,990",,
